"Country or Area","Year","Area","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Iceland","2020","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1850",""
"Iceland","2019","Total","Data tabulated by year of occurrence","Final figure, complete","2022","2075",""
"Iceland","2018","Total","Data tabulated by year of occurrence","Final figure, complete","2022","2092",""
"Iceland","2017","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1992",""
"Iceland","2016","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1617",""
"Iceland","2015","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1506",""
"Iceland","2014","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1314",""
"Iceland","2013","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1412",""
"Iceland","2012","Total","Data tabulated by year of occurrence","Final figure, complete","2022","1471",""
"Iceland","2011","Total","Data tabulated by year of occurrence","Final figure, complete","2012","1456","1,2"
"Iceland","2011","Urban","Data tabulated by year of occurrence","Final figure, complete","2012","1432","1,2"
"Iceland","2011","Rural","Data tabulated by year of occurrence","Final figure, complete","2012","24","1,2"
"Iceland","2010","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1547",""
"Iceland","2009","Total","Data tabulated by year of occurrence","Final figure, complete","2010","1480",""
"Iceland","2008","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1642",""
"Iceland","2007","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1716",""
"Iceland","2007","Urban","Data tabulated by year of occurrence","Final figure, complete","2009","1717","3"
"Iceland","2007","Rural","Data tabulated by year of occurrence","Final figure, complete","2009","80","3"
"Iceland","2006","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1681",""
"Iceland","2006","Urban","Data tabulated by year of occurrence","Final figure, complete","2008","1681",""
"Iceland","2006","Rural","Data tabulated by year of occurrence","Final figure, complete","2008","72",""
"Iceland","2005","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1607",""
"Iceland","2005","Urban","Data tabulated by year of occurrence","Final figure, complete","2007","1576",""
"Iceland","2005","Rural","Data tabulated by year of occurrence","Final figure, complete","2007","83",""
"Iceland","2004","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1472",""
"Iceland","2004","Urban","Data tabulated by year of occurrence","Final figure, complete","2006","1428",""
"Iceland","2004","Rural","Data tabulated by year of occurrence","Final figure, complete","2006","87",""
"Iceland","2003","Total","Data tabulated by year of occurrence","Final figure, complete","2004","1473",""
"Iceland","2003","Urban","Data tabulated by year of occurrence","Final figure, complete","2004","1400",""
"Iceland","2003","Rural","Data tabulated by year of occurrence","Final figure, complete","2004","73",""
"Iceland","2002","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1619",""
"Iceland","2002","Urban","Data tabulated by year of occurrence","Final figure, complete","2004","1581",""
"Iceland","2002","Rural","Data tabulated by year of occurrence","Final figure, complete","2004","71",""
"Iceland","2001","Total","Data tabulated by year of occurrence","Final figure, complete","2002","1484",""
"Iceland","2001","Urban","Data tabulated by year of occurrence","Final figure, complete","2002","1406",""
"Iceland","2001","Rural","Data tabulated by year of occurrence","Final figure, complete","2002","78",""
"Iceland","2000","Total","Data tabulated by year of occurrence","Final figure, complete","2002","1777",""
"Iceland","2000","Urban","Data tabulated by year of occurrence","Final figure, complete","2002","1668",""
"Iceland","2000","Rural","Data tabulated by year of occurrence","Final figure, complete","2002","109",""
"Iceland","1999","Total","Data tabulated by year of occurrence","Final figure, complete","2000","1560",""
"Iceland","1999","Urban","Data tabulated by year of occurrence","Final figure, complete","2003","1471",""
"Iceland","1999","Rural","Data tabulated by year of occurrence","Final figure, complete","2003","89",""
"Iceland","1998","Total","Data tabulated by year of occurrence","Final figure, complete","1999","1529",""
"Iceland","1998","Urban","Data tabulated by year of occurrence","Final figure, complete","1999","1415",""
"Iceland","1998","Rural","Data tabulated by year of occurrence","Final figure, complete","1999","114",""
"Iceland","1997","Total","Data tabulated by year of occurrence","Final figure, complete","1998","1481","4"
"Iceland","1997","Urban","Data tabulated by year of occurrence","Final figure, complete","1998","1386",""
"Iceland","1997","Rural","Data tabulated by year of occurrence","Final figure, complete","1998","90",""
"Iceland","1996","Total","Data tabulated by year of occurrence","Final figure, complete","1998","1349","4"
"Iceland","1996","Urban","Data tabulated by year of occurrence","Final figure, complete","1998","1268",""
"Iceland","1996","Rural","Data tabulated by year of occurrence","Final figure, complete","1998","66",""
"Iceland","1995","Total","Data tabulated by year of occurrence","Final figure, complete","1998","1238","4"
"Iceland","1995","Urban","Data tabulated by year of occurrence","Final figure, complete","1998","1148",""
"Iceland","1995","Rural","Data tabulated by year of occurrence","Final figure, complete","1998","81",""
"Iceland","1994","Total","Data tabulated by year of occurrence","Final figure, complete","1994","1219","4"
"Iceland","1994","Urban","Data tabulated by year of occurrence","Final figure, complete","1994","1158",""
"Iceland","1994","Rural","Data tabulated by year of occurrence","Final figure, complete","1994","61",""
"Iceland","1992","Total","Data tabulated by year of occurrence","Final figure, complete","1993","1241",""
"Iceland","1992","Urban","Data tabulated by year of occurrence","Final figure, complete","1993","1159",""
"Iceland","1992","Rural","Data tabulated by year of occurrence","Final figure, complete","1993","82",""
"Iceland","1991","Total","Data tabulated by year of occurrence","Final figure, complete","1992","1236",""
"Iceland","1991","Urban","Data tabulated by year of occurrence","Final figure, complete","1992","1157",""
"Iceland","1991","Rural","Data tabulated by year of occurrence","Final figure, complete","1992","61",""
"Iceland","1990","Total","Data tabulated by year of occurrence","Final figure, complete","1991","1154",""
"Iceland","1990","Urban","Data tabulated by year of occurrence","Final figure, complete","1991","1080",""
"Iceland","1990","Rural","Data tabulated by year of occurrence","Final figure, complete","1991","74",""
"Iceland","1989","Total","Data tabulated by year of occurrence","Final figure, complete","1990","1176",""
"Iceland","1989","Urban","Data tabulated by year of occurrence","Final figure, complete","1990","1108",""
"Iceland","1989","Rural","Data tabulated by year of occurrence","Final figure, complete","1990","68",""
"Iceland","1988","Total","Data tabulated by year of occurrence","Final figure, complete","1989","1294",""
"Iceland","1988","Urban","Data tabulated by year of occurrence","Final figure, complete","1989","1224",""
"Iceland","1988","Rural","Data tabulated by year of occurrence","Final figure, complete","1989","70",""
"Iceland","1987","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1160",""
"Iceland","1986","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1229",""
"Iceland","1985","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1252",""
"Iceland","1984","Total","Data tabulated by year of occurrence","Final figure, complete","1985","1413",""
"Iceland","1983","Total","Data tabulated by year of occurrence","Final figure, complete","1984","1396",""
"Iceland","1982","Total","Data tabulated by year of occurrence","Final figure, complete","1983","1303",""
"Iceland","1981","Total","Data tabulated by year of occurrence","Final figure, complete","1981","1357",""
"Iceland","1980","Total","Data tabulated by year of occurrence","Final figure, complete","1981","1306",""
"Iceland","1979","Total","Data tabulated by year of occurrence","Final figure, complete","1981","1451",""
"Iceland","1978","Total","Data tabulated by year of occurrence","Final figure, complete","1981","1585",""
"Iceland","1977","Total","Data tabulated by year of occurrence","Final figure, complete","1978","1568",""
"Iceland","1977","Urban","Data tabulated by year of occurrence","Final figure, complete","1978","1433",""
"Iceland","1977","Rural","Data tabulated by year of occurrence","Final figure, complete","1978","135",""
"Iceland","1976","Total","Data tabulated by year of occurrence","Final figure, complete","1977","1645",""
"Iceland","1976","Urban","Data tabulated by year of occurrence","Final figure, complete","1977","1472",""
"Iceland","1976","Rural","Data tabulated by year of occurrence","Final figure, complete","1977","173",""
"Iceland","1975","Total","Data tabulated by year of occurrence","Final figure, complete","1976","1689",""
"Iceland","1975","Urban","Data tabulated by year of occurrence","Final figure, complete","1976","1523",""
"Iceland","1975","Rural","Data tabulated by year of occurrence","Final figure, complete","1976","166",""
"Iceland","1974","Total","Data tabulated by year of occurrence","Final figure, complete","1976","1891",""
"Iceland","1974","Urban","Data tabulated by year of occurrence","Final figure, complete","1976","1716",""
"Iceland","1974","Rural","Data tabulated by year of occurrence","Final figure, complete","1976","175",""
"Iceland","1973","Total","Data tabulated by year of occurrence","Final figure, complete","1974","1753",""
"Iceland","1972","Total","Data tabulated by year of occurrence","Final figure, complete","1974","1692",""
"Iceland","1971","Total","Data tabulated by year of occurrence","Final figure, complete","1972","1624",""
"Iceland","1970","Total","Data tabulated by year of occurrence","Final figure, complete","1972","1590",""
"Iceland","1969","Total","Data tabulated by year of occurrence","Final figure, complete","1971","1722",""
"Iceland","1969","Urban","Data tabulated by year of occurrence","Final figure, complete","1971","909",""
"Iceland","1969","Rural","Data tabulated by year of occurrence","Final figure, complete","1971","813",""
"Iceland","1968","Total","Data tabulated by year of occurrence","Final figure, complete","1969","1687",""
"Iceland","1968","Urban","Data tabulated by year of occurrence","Final figure, complete","1971","873",""
"Iceland","1968","Rural","Data tabulated by year of occurrence","Final figure, complete","1971","814",""
"Iceland","1967","Total","Data tabulated by year of occurrence","Final figure, complete","1969","1700",""
"Iceland","1966","Total","Data tabulated by year of occurrence","Final figure, complete","1968","1551",""
"Iceland","1965","Total","Data tabulated by year of occurrence","Final figure, complete","1967","1560",""
"Iceland","1965","Urban","Data tabulated by year of occurrence","Final figure, complete","1967","772",""
"Iceland","1965","Rural","Data tabulated by year of occurrence","Final figure, complete","1967","788",""
"Iceland","1964","Total","Data tabulated by year of occurrence","Final figure, complete","1966","1567",""
"Iceland","1963","Total","Data tabulated by year of occurrence","Final figure, complete","1966","1457",""
"Iceland","1962","Total","Data tabulated by year of occurrence","Final figure, complete","1966","1357",""
"Iceland","1961","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1348",""
"Iceland","1960","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1309",""
"Iceland","1959","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1345",""
"Iceland","1958","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1331",""
"Iceland","1957","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1315",""
"Iceland","1956","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1336",""
"Iceland","1955","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1335",""
"Iceland","1954","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1417",""
"Iceland","1953","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1225",""
"Iceland","1952","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1151",""
"Iceland","1951","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1139",""
"Iceland","1950","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1217",""
"Iceland","1949","Total","Data tabulated by year of occurrence","Final figure, complete","1952","1077",""
"Iceland","1948","Total","Data tabulated by year of occurrence","Final figure, complete","1952","1162",""

"footnoteSeqID","Footnote"
"1","Data for residence abroad are excluded."
"2","Data refer to common residence after marriage."
"3","Unrevised data."
"4","Total includes residence abroad, but the categories urban and rural do not."
